archivo,formato
98-99.xlsx,formato_1998
DTO 1998.xlsx,formato_1998
DTO 2000-1171.xlsx,formato_juradas
DTO 2001-133 AGRICOLAS.xlsx,formato_detalle_agricola_2001
DTO 2001-133.xlsx,formato_juradas
DTO 2001-134.xlsx,formato_juradas
DTO 2002-130.xlsx,formato_juradas
DTO 2002-1612.xlsx,formato_juradas
DTO 2002-2883.xlsx,formato_juradas
DTO 2002-708-804-868.xlsx,formato_juradas
DTO 2002-805.xlsx,formato_juradas
DTO 2002-807.xlsx,formato_juradas
DTO 2002-809.xlsx,formato_juradas
DTO 2002-964.xlsx,formato_ganadero_ancho
DTO 2002-_808.xlsx,formato_juradas
DTO 2003-1349.xlsx,formato_juradas
DTO 2003-2916.xlsx,formato_juradas
DTO 2003-2917.xlsx,formato_juradas
DTO 2003-842.xlsx,formato_juradas
DTO 2005-401.xlsx,formato_juradas
DTO 2006-1543.xlsx,formato_ganadero_ancho
DTO 2006-187.xlsx,formato_ganadero_resumido
DTO 2006-650.xlsx,formato_agricola_monte_caseros
DTO 2007- 464.xls,formato_detalle_agricola_2007_xls
DTO 2007-1232.xlsx,formato_tabaco_2007
DTO 2009-28.xlsx,formato_moderno_multisheet
DTO 2011-2601.xlsx,formato_moderno_multisheet
DTO 2012-1362.xlsx,formato_moderno_multisheet
DTO 2012.xlsx,formato_moderno_multisheet
DTO 2013-1479.xlsx,formato_moderno_multisheet
DTO 2014-1965.xlsx,formato_moderno_multisheet
DTO 2015-55.xlsx,formato_moderno_multisheet
DTO 2016-01.xlsx,formato_moderno_multisheet
DTO 2016-1044.xlsx,formato_moderno_multisheet
DTO 2017-1104.xlsx,formato_moderno_multisheet
DTO 2017-235.xlsx,formato_moderno_multisheet
DTO 2018 - 763.xlsx,formato_moderno_multisheet
DTO 2019 - 32.xlsx,formato_2019
